가맹점명,주소
화성남양점,경기도 화성시 남양읍 시청로45번길 3-9 .
동탄2호점,경기도 화성시 지산2길 33-6
새솔점,경기도 화성시 노들길 4 (새솔동) 107호
동탄3호점,경기도 화성시 동탄장지천5길 4-1 (장지동) 1층
거제고현점,경상남도 거제시 고현동 123-4번지
김해율하점,경상남도 김해시 율하2로 76 (율하동) .
김해내외점,경상남도 김해시 외동 1187-19
진영점,경상남도 김해시 진영읍 장등로19번길 57-1
양산1호점,경상남도 양산시 중부동 689-6
양산물금점,경상남도 양산시 물금읍 새실로 159 (나래메트로시티 B동 112호)
양산웅상점,경상남도 양산시 웅상대로 825(덕계동) 103호
진주1호점,경상남도 진주시 진양호로 343 1층
하대점,경상남도 진주시 하대동 113-5
마산중앙점,경상남도 창원시 마산합포구 문화남4길 3 (월남동3가) 1층
양덕점,경상남도 창원시 마산회원구 양덕동 59-3
마산내서점,경상남도 창원시 마산회원구 내서읍 경남대로 971 .
창원대방점,경상남도 창원시 성산구 성주동 125번지
창원반송점,경상남도 창원시 성산구 반지동 81-8
상남점,경상남도 창원시 의창구 신사로 11 (신월동) .
창원소답점,경상남도 창원시 의창구 소답동 143-37번지
진해1호점,경상남도 창원시 진해구 냉천로 64 (석동) M bar
경산점,경상북도 경산시 경안로 259(중방동) 1층
경주점,경상북도 경주시 황성동 344-4
구미옥계점,경상북도 구미시 산호대로29길 15 (옥계동) (이림빌딩)
안동점,경상북도 안동시 광명로 262 (태화동) 1층
석적점,경상북도 칠곡군 석적읍 유학로 9 1층
포항장량점,경상북도 포항시 북구 장성동 1570-15
수완점,광주광역시 광산구 수완동 1486
첨단1지구점,"광주광역시 광산구 임방울대로825번길 9 (쌍암동, 광주첨단 LH 2단지) 상가동 101호"
광주하남점,광주광역시 광산구 사암로 339(월곡동) 1층
주월봉선점,광주광역시 남구 주월동 1218-13번지
광주효천점,광주광역시 남구 효천중앙로 62 (임암동) 그린타워 1층
첨단2지구점,광주광역시 북구 신용동 730번지 Y타워 1층 101호
일곡오치점,광주광역시 북구 오치동 750-1번지
동광주점,광주광역시 북구 동문대로 69 (우산동) 1층
금호풍암점,광주광역시 서구 풍금로 83 (금호동) 1층
상무점,광주광역시 서구 상일로64번길 1 (쌍촌동) .
대구진천점,대구광역시 달서구 진천동 595-54
대구죽전점,대구광역시 달서구 감삼동 620-20번지
현풍점,대구광역시 달성군 현풍읍 중리 489 110호
반야월점,대구광역시 동구 동호동 206-25번지
침산점,대구광역시 북구 침산동 385-10
